Nominated Position Location (State),Nominated Occupation (Major Group),3/31/2013,6/30/2013,9/30/2013,12/31/2013,3/31/2014,6/30/2014,9/30/2014,12/31/2014,3/31/2015,6/30/2015,9/30/2015,12/31/2015,3/31/2016,6/30/2016,9/30/2016,12/31/2016,3/31/2017,6/30/2017,9/30/2017,12/31/2017,3/31/2018,6/30/2018,9/30/2018,12/31/2018,3/31/2019,6/30/2019,9/30/2019,12/31/2019,3/31/2020,6/30/2020,9/30/2020,12/31/2020,3/31/2021,6/30/2021,9/30/2021,12/31/2021,3/31/2022,6/30/2022,9/30/2022,12/31/2022
NSW,2 Professionals,"20,834","20,947","21,121","17,353","20,963","20,175","20,650","16,796","20,462","20,311","20,738","16,889","20,679","20,396","21,236","17,614","22,510","21,730","21,731","17,654","20,869","20,967","21,940","17,755","22,129","20,626","20,704","16,483","20,957","19,438","17,910","16,704","15,516","14,414","13,505","12,025","13,336","13,304","15,427","14,260"
NSW,3 Technicians and Trades Workers,"6,416","6,981","7,414","6,675","8,107","8,182","8,326","7,382","8,504","8,535","8,447","7,519","8,376","8,418","8,745","8,013","9,309","9,058","9,155","8,168","9,040","9,050","9,694","8,852","10,102","9,564","9,144","7,641","8,720","8,063","7,388","6,826","6,469","6,171","5,956","5,714","5,719","5,506","5,858","5,899"
NSW,4 Community and Personal Service Workers,436,530,508,472,551,610,601,500,564,665,653,605,652,710,685,602,661,710,641,539,584,634,595,504,557,486,417,326,357,312,273,235,218,221,210,189,180,195,238,267
NSW,5 Clerical and Administrative Workers,"2,135","2,220","2,214","1,797","2,089","1,950","1,850","1,468","1,601","1,433","1,257",969,964,849,756,552,606,515,492,385,440,424,414,326,360,323,295,228,274,231,205,178,162,162,146,136,138,143,172,145
NSW,6 Sales Workers,88,120,162,184,213,234,258,250,281,304,314,296,323,319,326,310,347,344,302,264,281,267,274,217,244,206,179,135,155,130,103,102,91,79,80,71,73,70,81,83
NSW,7 Machinery Operators and Drivers,26,34,27,15,25,38,35,17,29,38,30,20,31,46,44,33,39,46,42,24,25,29,25,17,18,18,15,10,5,<5,<5,<5,<5,<5,<5,<5,<5,7,7,11
NSW,8 Labourers,62,63,60,43,46,45,40,32,29,24,19,17,22,17,17,15,17,10,11,11,14,20,25,25,28,32,32,20,32,31,28,28,33,35,35,28,43,44,42,31
NSW,Not Applicable,"26,556","25,871","27,235","25,771","29,287","28,139","29,034","26,813","29,857","28,956","29,531","27,049","29,651","28,275","29,216","27,020","30,103","28,503","28,428","25,252","27,866","26,794","28,057","26,320","29,388","26,956","26,287","23,189","26,257","24,213","22,323","21,006","19,530","18,419","17,522","16,672","17,908","17,533","19,644","19,855"
NSW,Not Specified,17,10,12,5,8,7,5,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5,6,5,27,32,49,111,162,217,258,304,314,344,341,347,365,399,397,392,370,352,349,332,312
NSW,Skilled Meat Worker,176,185,158,183,184,193,212,210,221,234,252,257,260,254,251,242,244,238,254,251,341,333,303,281,245,222,179,159,149,133,125,95,91,54,36,15,<5,,,
NT,1 Managers,142,184,192,169,225,253,265,186,253,288,279,184,255,288,276,199,254,293,279,190,211,222,186,119,133,134,114,68,80,80,63,55,55,49,49,43,43,44,47,44
NT,2 Professionals,547,518,505,377,486,447,476,324,435,421,458,350,460,453,451,361,454,479,491,390,452,441,402,348,349,314,318,251,292,264,233,206,205,202,205,219,227,206,228,187
NT,3 Technicians and Trades Workers,511,578,635,450,770,836,865,570,860,900,884,619,861,855,839,597,750,735,723,503,575,555,522,389,445,421,377,282,345,299,272,257,248,231,217,211,218,218,244,230
NT,4 Community and Personal Service Workers,25,29,31,25,31,30,24,17,21,22,34,28,36,40,36,35,44,49,54,44,57,57,56,51,55,56,58,54,68,63,57,67,64,66,71,80,84,81,88,101
NT,5 Clerical and Administrative Workers,26,36,37,22,48,48,54,30,42,45,44,29,34,30,27,22,32,34,29,23,32,27,27,17,21,21,19,14,20,16,17,17,17,17,16,16,11,17,19,17
NT,6 Sales Workers,<5,<5,5,<5,5,9,11,7,13,12,13,11,15,14,13,12,13,14,14,10,15,15,15,13,12,10,9,9,13,13,13,13,11,9,9,9,11,9,9,10
NT,7 Machinery Operators and Drivers,<5,<5,<5,<5,7,5,6,<5,7,10,12,7,8,9,9,5,9,9,11,8,10,11,11,5,8,8,9,6,10,10,9,9,9,9,8,7,8,10,11,9
NT,8 Labourers,14,15,21,6,21,23,7,<5,6,<5,5,7,8,5,5,7,8,6,8,10,8,10,11,13,15,11,13,10,17,19,16,12,10,13,17,20,19,23,23,24
NT,Not Applicable,965,924,924,836,"1,002",912,"1,009",819,961,959,"1,074",936,"1,071","1,053","1,150",969,"1,153","1,078","1,170",916,"1,001",945,999,830,883,781,767,642,754,628,573,565,551,532,518,543,548,529,602,571
NT,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,<5,<5,16,21,20,20,25,25,25,25,24,26,22,24,26
QLD,1 Managers,"2,912","3,062","3,340","2,900","3,637","3,546","3,636","3,090","3,527","3,493","3,381","2,850","3,097","2,945","2,868","2,449","2,660","2,431","2,346","1,987","2,050","1,897","1,870","1,619","1,723","1,531","1,396","1,129","1,298","1,137",984,918,891,858,814,797,773,757,843,795
QLD,2 Professionals,"7,734","7,462","7,328","5,514","6,821","6,332","6,234","4,790","5,737","5,488","5,448","4,329","4,945","4,733","4,906","4,076","4,882","4,601","4,533","3,706","4,288","4,195","4,480","3,720","4,235","3,847","3,977","3,312","4,135","3,819","3,594","3,545","3,380","3,121","3,067","3,042","3,169","3,104","3,493","3,367"
QLD,3 Technicians and Trades Workers,"4,792","5,301","5,525","4,487","5,652","5,584","5,470","4,302","4,756","4,645","4,369","3,595","3,773","3,571","3,426","2,995","3,213","3,004","2,918","2,565","2,706","2,729","2,853","2,709","2,895","2,762","2,655","2,350","2,586","2,400","2,168","2,071","2,070","2,072","2,118","2,066","2,093","2,136","2,391","2,498"
QLD,4 Community and Personal Service Workers,162,169,188,186,205,198,214,201,221,226,236,242,253,253,263,253,278,265,262,236,251,234,226,211,200,169,149,119,118,99,84,80,70,63,69,72,68,77,78,88
QLD,5 Clerical and Administrative Workers,603,640,663,469,624,577,526,364,436,370,337,256,253,248,214,156,175,147,137,106,116,108,99,82,87,75,64,42,49,42,38,37,37,32,34,34,36,32,42,36
QLD,6 Sales Workers,39,57,69,77,84,88,98,109,120,129,134,121,117,120,124,120,117,123,108,110,94,87,80,73,70,57,34,24,22,20,17,15,11,9,8,10,12,11,10,14
QLD,7 Machinery Operators and Drivers,191,190,227,151,167,148,147,104,113,103,90,70,72,52,37,36,40,31,36,12,15,14,11,6,9,15,14,11,11,10,9,8,7,7,7,<5,<5,5,6,8
QLD,8 Labourers,59,60,59,51,77,86,95,80,101,110,113,101,94,107,115,92,120,126,114,111,108,122,125,106,109,113,102,83,106,103,94,87,82,80,83,69,93,100,109,83
QLD,Not Applicable,"15,110","15,055","15,496","13,629","15,897","15,132","15,032","12,907","14,301","13,521","13,181","11,542","12,002","11,482","11,199","9,724","10,577","9,875","9,646","8,479","8,871","8,636","8,841","8,091","8,901","8,232","8,018","7,003","8,157","7,494","6,761","6,543","6,304","6,043","5,886","5,919","5,999","5,966","6,511","6,843"
QLD,Not Specified,,,,,,,,,,<5,<5,,<5,9,10,30,30,26,26,31,53,99,179,164,236,287,351,296,466,465,466,496,524,540,546,566,562,541,518,501
QLD,Skilled Meat Worker,557,527,419,276,385,390,411,289,412,422,421,326,414,462,431,329,453,466,398,378,358,455,430,283,385,366,295,169,220,206,168,114,75,59,36,25,6,<5,,
SA,1 Managers,363,378,422,372,485,477,497,463,534,538,547,469,503,474,463,406,453,387,411,325,344,331,323,273,304,271,262,203,244,218,220,201,204,187,193,169,173,170,179,167
SA,2 Professionals,"1,632","1,506","1,544","1,256","1,446","1,377","1,349","1,111","1,271","1,211","1,137",918,"1,066",979,"1,005",861,949,908,945,810,904,897,"1,002",877,977,914,944,804,903,806,743,737,727,663,625,617,639,615,673,661
SA,3 Technicians and Trades Workers,715,793,891,719,971,985,"1,012",779,961,978,924,733,783,721,682,586,647,602,598,484,547,572,559,492,520,492,484,396,441,388,390,386,385,376,387,380,411,364,444,399
